id	filename	md5	size	state
013cb19f-71c8-4c49-b3ec-e3dc7a335743	9ef0c6dd-6e38-41fd-aff6-ae0800c7755d.FPKM-UQ.txt.gz	d16a6a28609add1ec4ee708c9562b9ec	541291	validated
014c7dc5-5b88-413d-a8b1-d059e1a17ad3	d81394e3-a55e-4b85-b13d-e3fa1806c800.FPKM-UQ.txt.gz	7189ca438128e634ea163d9182ee36ed	558532	validated
01cb9942-ff60-4eb9-834d-020f18f07040	20c6123b-33b6-46a7-8625-482e4594c032.FPKM-UQ.txt.gz	86672cd0a2ec2a4b760aebdba6dfb15c	530270	validated
030083d8-628f-40e3-b524-87fb0c405818	e15d3de5-f141-487f-8262-8b0d20563c76.FPKM-UQ.txt.gz	9a959baf61d061572df3b7dc5a038f03	518525	validated
0542e013-e611-44ac-acc6-ab2fc5dac59f	e432ae12-e368-4264-a129-b9a6481af513.FPKM-UQ.txt.gz	135b222fde61c672abc3f2c05954398b	515948	validated
057704ab-3a90-4901-86c2-e22c246fcbbd	4ed9b51a-78a1-48c7-90bd-8ecd2e5767ad.FPKM-UQ.txt.gz	15c8aae62c100932ecfc4a428a06da2c	519683	validated
082d40e4-e934-448e-b9ee-16d66b2dfa6d	c1a0244b-d1df-4457-b21d-14006133525a.FPKM-UQ.txt.gz	85e0f2f9631e0efeda2c0e5b015cd6c1	509119	validated
09f200c1-64c9-41a1-8987-4a2c386e5ac4	61f2d13b-a11b-48e2-ab4b-84ca27d54eb2.FPKM-UQ.txt.gz	db09df7335d9267d9ae59ec9080fde4b	524034	validated
0afdb6ee-0484-4c04-834d-7611a172f615	9b080ec7-d075-42a6-b6b5-ba57e2791fc7.FPKM-UQ.txt.gz	6c1c9a04bbf086cf9e48f5dc69063fb8	542726	validated
0b0d3499-11a5-4d1b-b3d9-b7614de0e650	29b6e624-9539-4abc-b80f-b5c7b65948fc.FPKM-UQ.txt.gz	e4597408e7d5bfd3f195c91978d86557	510475	validated
0b6c9346-d974-4b41-9892-84b2602f0f19	b4661ac5-95c7-450e-8797-b2dbe04ad1ee.FPKM-UQ.txt.gz	562d043296f4ce4f53a84a54d5f09b99	489513	validated
0b7caf5e-59df-4e43-ad37-1a770aa69aa7	6ef20248-2378-4c89-aac1-8e2d37d01d51.FPKM-UQ.txt.gz	cbf992798000f67176c71a131225cce7	509738	validated
0de969eb-f164-4d3b-89e7-5f3bb0a6b577	d146cc22-0cb0-4adf-b507-95c343419dc1.FPKM-UQ.txt.gz	064c152f6e74b0dc7b9686e5204baaf2	525617	validated
0e3de66a-371e-4cc8-9db4-7728be2c7468	e4de8f87-b9c8-4021-b29a-b7d128ff64a3.FPKM-UQ.txt.gz	49f8529ff0c57b26fa7335855bc4535b	546235	validated
0f5f287b-ee07-47b1-9d71-03cacffbdc21	dc76cdde-f77f-4604-94c4-0b150b9a56b4.FPKM-UQ.txt.gz	03d16f7df1a9a79f7b764bb2e5ee0005	512590	validated
0f7aba1f-82de-4303-bb1a-0ce4d0fee311	da7e58d4-34e4-4809-95d1-becd983d1da4.FPKM-UQ.txt.gz	d211fe8f0067b28b52e9c4a290bc1716	522167	validated
0f951db3-fcfe-48b1-9617-9e9a9a8c7fc7	8c593c14-319f-4268-92c1-46019e543502.FPKM-UQ.txt.gz	5c9b9c54d8c0cf38d052651758aa0832	533167	validated
11245abe-ce76-4215-9006-24dc037b6a8e	983f2870-96f9-471d-b42e-41b7b84331fc.FPKM-UQ.txt.gz	23daf85f044f9527dd8ec6cfeab09eec	519360	validated
13cc9127-bcd8-4a7c-a16a-1febc66f26fe	c962af41-67e1-4e18-9d59-cee591ef98f9.FPKM-UQ.txt.gz	265a076910472674fea92467f2c07ec6	536136	validated
17f4395a-5cb2-40b2-8954-ca549b4fb8fb	1b5c1647-d213-43f4-961c-ef74b269a152.FPKM-UQ.txt.gz	81ee61d2ab4a3810a0d5118e6c42ed81	541988	validated
1841bec2-fcc1-4922-8fe1-30fdc1076ef2	5061303f-9743-4495-a9ea-a5c579992525.FPKM-UQ.txt.gz	32f7d827b0d93ba1460188c0a524e37f	554927	validated
196e0eac-be26-4ba7-8bc3-de52a508b358	027ec9be-7e41-44df-8f61-1e5698303eac.FPKM-UQ.txt.gz	4030d3d9b3b81f34f4ca5838f8553c4e	518679	validated
197bb065-d364-4141-b122-3a5946e57151	c8fb3217-2cc9-47c0-84b6-b666c07624e6.FPKM-UQ.txt.gz	6020d3d2969e32f4cec0c3b11a47a188	536676	validated
19c3a4e5-581a-4d5b-95ac-47aa9572ad3b	f93bcfae-3bc7-40db-9df0-e8d11662f8e3.FPKM-UQ.txt.gz	d33d3414bf424d868cb6316373dbe161	534030	validated
19ce8713-7d86-45b4-bd05-455ee9960d78	98fcd5aa-3b1a-4980-a65f-c44a8c070101.FPKM-UQ.txt.gz	c8c00a6d7a46f2e21f78172c7eb6d924	533544	validated
19e52402-edc9-4bf0-8095-290c53e4edbd	a24d07c0-9b91-4538-96d2-f97544f4dbb0.FPKM-UQ.txt.gz	02743a210c6d07868dee56335f662f08	521605	validated
1d418873-d860-4e00-ade0-bf2143d0d716	52b12974-df31-4627-b337-c24fdcec9cfa.FPKM-UQ.txt.gz	90c9623c565ebb777c293c5693b98061	557672	validated
1dedeeb2-160b-41dc-99f5-31ec208f29f3	43fa35c1-d9c9-4ae7-bf42-ce4b4424bef8.FPKM-UQ.txt.gz	d1ec5bbb152483b94e671a851a5fbbb8	532069	validated
